YEAR,LAT,LON,Month,Temperature,Date
2000,7.5,35.0,1,24.91,2000-01-01
2000,7.5,35.625,1,17.63,2000-01-01
2000,7.5,36.25,1,17.16,2000-01-01
2000,7.5,36.875,1,18.19,2000-01-01
2000,7.5,37.5,1,17.88,2000-01-01
2000,7.5,38.125,1,17.71,2000-01-01
2000,7.5,38.75,1,17.66,2000-01-01
2000,7.5,39.375,1,12.33,2000-01-01
2000,7.5,40.0,1,16.88,2000-01-01
2000,7.5,40.625,1,19.59,2000-01-01
2000,7.5,41.25,1,23.1,2000-01-01
2000,7.5,41.875,1,24.77,2000-01-01
2000,7.5,42.5,1,24.99,2000-01-01
2000,8.0,33.125,1,30.83,2000-01-01
2000,8.0,33.75,1,30.72,2000-01-01
2000,8.0,34.375,1,29.71,2000-01-01
2000,8.0,35.0,1,22.85,2000-01-01
2000,8.0,35.625,1,18.22,2000-01-01
2000,8.0,36.25,1,16.44,2000-01-01
2000,8.0,36.875,1,18.53,2000-01-01
2000,8.0,37.5,1,17.46,2000-01-01
2000,8.0,38.125,1,12.96,2000-01-01
2000,8.0,38.75,1,18.79,2000-01-01
2000,8.0,39.375,1,14.2,2000-01-01
2000,8.0,40.0,1,16.46,2000-01-01
2000,8.0,40.625,1,21.82,2000-01-01
2000,8.0,41.25,1,22.53,2000-01-01
2000,8.0,41.875,1,23.84,2000-01-01
2000,8.0,42.5,1,24.31,2000-01-01
2000,8.5,33.125,1,30.62,2000-01-01
2000,8.5,33.75,1,30.91,2000-01-01
2000,8.5,34.375,1,28.33,2000-01-01
2000,8.5,35.0,1,21.07,2000-01-01
2000,8.5,35.625,1,19.18,2000-01-01
2000,8.5,36.25,1,17.71,2000-01-01
2000,8.5,36.875,1,19.49,2000-01-01
2000,8.5,37.5,1,17.8,2000-01-01
2000,8.5,38.125,1,14.51,2000-01-01
2000,8.5,38.75,1,15.62,2000-01-01
2000,8.5,39.375,1,18.99,2000-01-01
2000,8.5,40.0,1,18.91,2000-01-01
2000,8.5,40.625,1,20.52,2000-01-01
2000,8.5,41.25,1,22.15,2000-01-01
2000,8.5,41.875,1,22.84,2000-01-01
2000,8.5,42.5,1,22.7,2000-01-01
2000,9.0,33.125,1,30.39,2000-01-01
2000,9.0,33.75,1,30.86,2000-01-01
2000,9.0,34.375,1,25.31,2000-01-01
2000,9.0,35.0,1,20.12,2000-01-01
2000,9.0,35.625,1,19.22,2000-01-01
2000,9.0,36.25,1,19.38,2000-01-01
2000,9.0,36.875,1,18.98,2000-01-01
2000,9.0,37.5,1,17.26,2000-01-01
2000,9.0,38.125,1,14.67,2000-01-01
2000,9.0,38.75,1,14.37,2000-01-01
2000,9.0,39.375,1,16.71,2000-01-01
2000,9.0,40.0,1,23.15,2000-01-01
2000,9.0,40.625,1,20.28,2000-01-01
2000,9.0,41.25,1,19.7,2000-01-01
2000,9.0,41.875,1,19.99,2000-01-01
2000,9.0,42.5,1,20.96,2000-01-01
2000,9.5,33.125,1,29.89,2000-01-01
2000,9.5,33.75,1,30.12,2000-01-01
2000,9.5,34.375,1,24.44,2000-01-01
2000,9.5,35.0,1,20.96,2000-01-01
2000,9.5,35.625,1,21.42,2000-01-01
2000,9.5,36.25,1,21.47,2000-01-01
2000,9.5,36.875,1,18.96,2000-01-01
2000,9.5,37.5,1,18.1,2000-01-01
2000,9.5,38.125,1,17.15,2000-01-01
2000,9.5,38.75,1,14.12,2000-01-01
2000,9.5,39.375,1,11.78,2000-01-01
2000,9.5,40.0,1,22.22,2000-01-01
2000,9.5,40.625,1,23.65,2000-01-01
2000,9.5,41.25,1,20.88,2000-01-01
2000,9.5,41.875,1,18.79,2000-01-01
2000,9.5,42.5,1,17.69,2000-01-01
2001,10.0,33.125,1,27.56,2001-01-01
2001,10.0,33.75,1,28.28,2001-01-01
2001,10.0,34.375,1,25.44,2001-01-01
2001,10.0,35.0,1,22.65,2001-01-01
2001,10.0,35.625,1,24.75,2001-01-01
2001,10.0,36.25,1,20.9,2001-01-01
2001,10.0,36.875,1,18.73,2001-01-01
2001,10.0,37.5,1,21.17,2001-01-01
2001,10.0,38.125,1,21.17,2001-01-01
2001,10.0,38.75,1,19.6,2001-01-01
2001,10.0,39.375,1,15.27,2001-01-01
2001,10.0,40.0,1,18.83,2001-01-01
2001,10.0,40.625,1,23.88,2001-01-01
2001,10.0,41.25,1,23.18,2001-01-01
2001,10.0,41.875,1,22.51,2001-01-01
2001,10.0,42.5,1,20.26,2001-01-01
2001,10.5,33.125,1,26.66,2001-01-01
2001,10.5,33.75,1,27.64,2001-01-01
2001,10.5,34.375,1,25.03,2001-01-01
2001,10.5,35.0,1,25.28,2001-01-01
2001,10.5,35.625,1,19.11,2001-01-01
2001,10.5,36.25,1,20.86,2001-01-01
2001,10.5,36.875,1,19.4,2001-01-01
2001,10.5,37.5,1,16.24,2001-01-01
2001,10.5,38.125,1,16.87,2001-01-01
2001,10.5,38.75,1,20.32,2001-01-01
2001,10.5,39.375,1,14.6,2001-01-01
2001,10.5,40.0,1,17.48,2001-01-01
2001,10.5,40.625,1,23.81,2001-01-01
2001,10.5,41.25,1,23.45,2001-01-01
2001,10.5,41.875,1,22.48,2001-01-01
2001,10.5,42.5,1,20.41,2001-01-01
2001,11.0,33.125,1,25.37,2001-01-01
2001,11.0,33.75,1,26.21,2001-01-01
2001,11.0,34.375,1,25.56,2001-01-01
2001,11.0,35.0,1,26.48,2001-01-01
2001,11.0,35.625,1,23.77,2001-01-01
2001,11.0,36.25,1,21.77,2001-01-01
2001,11.0,36.875,1,15.79,2001-01-01
2001,11.0,37.5,1,15.86,2001-01-01
2001,11.0,38.125,1,18.11,2001-01-01
2001,11.0,38.75,1,18.96,2001-01-01
2001,11.0,39.375,1,13.53,2001-01-01
2001,11.0,40.0,1,18.61,2001-01-01
2001,11.0,40.625,1,23.69,2001-01-01
2001,11.0,41.25,1,23.62,2001-01-01
2001,11.0,41.875,1,23.63,2001-01-01
2001,11.0,42.5,1,21.02,2001-01-01
2001,11.5,33.125,1,24.01,2001-01-01
2001,11.5,33.75,1,24.59,2001-01-01
2001,11.5,34.375,1,26.06,2001-01-01
2001,11.5,35.0,1,26.72,2001-01-01
2001,11.5,35.625,1,26.37,2001-01-01
2001,11.5,36.25,1,23.03,2001-01-01
2001,11.5,36.875,1,17.5,2001-01-01
2001,11.5,37.5,1,17.93,2001-01-01
2001,11.5,38.125,1,17.68,2001-01-01
2001,11.5,38.75,1,20.05,2001-01-01
2001,11.5,39.375,1,14.78,2001-01-01
2001,11.5,40.0,1,19.82,2001-01-01
2001,11.5,40.625,1,23.67,2001-01-01
2001,11.5,41.25,1,24.05,2001-01-01
2001,11.5,41.875,1,23.29,2001-01-01
2001,11.5,42.5,1,22.45,2001-01-01
2001,12.0,33.125,1,23.81,2001-01-01
2001,12.0,33.75,1,24.23,2001-01-01
2001,12.0,34.375,1,26.09,2001-01-01
2001,12.0,35.0,1,26.77,2001-01-01
2001,12.0,35.625,1,26.74,2001-01-01
2001,12.0,36.25,1,24.94,2001-01-01
2001,12.0,36.875,1,19.55,2001-01-01
2001,12.0,37.5,1,20.1,2001-01-01
2001,12.0,38.125,1,17.91,2001-01-01
2001,12.0,38.75,1,18.2,2001-01-01
2001,12.0,39.375,1,13.74,2001-01-01
2001,12.0,40.0,1,21.28,2001-01-01
2001,12.0,40.625,1,23.55,2001-01-01
2001,12.0,41.25,1,24.25,2001-01-01
2001,12.0,41.875,1,23.36,2001-01-01
2001,12.0,42.5,1,21.44,2001-01-01
2001,3.0,33.125,1,26.45,2001-01-01
2001,3.0,33.75,1,25.21,2001-01-01
2001,3.0,34.375,1,23.9,2001-01-01
2001,3.0,35.0,1,26.53,2001-01-01
2001,3.0,35.625,1,29.08,2001-01-01
2001,3.0,36.25,1,29.83,2001-01-01
2001,3.0,36.875,1,28.55,2001-01-01
2001,3.0,37.5,1,28.92,2001-01-01
2001,3.0,38.125,1,28.4,2001-01-01
2001,3.0,38.75,1,28.5,2001-01-01
2001,3.0,39.375,1,28.21,2001-01-01
2001,3.0,40.0,1,27.59,2001-01-01
2001,3.0,40.625,1,27.72,2001-01-01
2001,3.0,41.25,1,28.33,2001-01-01
2001,3.0,41.875,1,28.05,2001-01-01
2001,3.0,42.5,1,29.8,2001-01-01
2001,3.5,33.125,1,25.96,2001-01-01
2001,3.5,33.75,1,24.14,2001-01-01
2001,3.5,34.375,1,24.07,2001-01-01
2001,3.5,35.0,1,27.82,2001-01-01
2001,3.5,35.625,1,29.38,2001-01-01
2001,3.5,36.25,1,29.82,2001-01-01
2001,3.5,36.875,1,29.27,2001-01-01
2001,3.5,37.5,1,28.46,2001-01-01
2001,3.5,38.125,1,27.63,2001-01-01
2001,3.5,38.75,1,27.18,2001-01-01
2001,3.5,39.375,1,25.78,2001-01-01
2001,3.5,40.0,1,26.68,2001-01-01
2001,3.5,40.625,1,26.53,2001-01-01
2001,3.5,41.25,1,27.07,2001-01-01
2001,3.5,41.875,1,28.01,2001-01-01
2001,3.5,42.5,1,29.72,2001-01-01
2001,4.0,33.125,1,25.44,2001-01-01
2001,4.0,33.75,1,24.07,2001-01-01
2001,4.0,34.375,1,26.69,2001-01-01
2001,4.0,35.0,1,28.94,2001-01-01
2001,4.0,35.625,1,28.54,2001-01-01
2001,4.0,36.25,1,30.16,2001-01-01
2001,4.0,36.875,1,28.74,2001-01-01
2001,4.0,37.5,1,28.69,2001-01-01
2001,4.0,38.125,1,25.25,2001-01-01
2001,4.0,38.75,1,23.43,2001-01-01
2001,4.0,39.375,1,24.31,2001-01-01
2001,4.0,40.0,1,25.61,2001-01-01
2001,4.0,40.625,1,25.47,2001-01-01
2001,4.0,41.25,1,26.79,2001-01-01
2001,4.0,41.875,1,28.26,2001-01-01
2001,4.0,42.5,1,29.22,2001-01-01
2001,4.5,33.125,1,28.3,2001-01-01
2001,4.5,33.75,1,26.58,2001-01-01
2001,4.5,34.375,1,28.57,2001-01-01
2001,4.5,35.0,1,29.01,2001-01-01
2001,4.5,35.625,1,28.96,2001-01-01
2001,4.5,36.25,1,29.8,2001-01-01
2001,4.5,36.875,1,28.82,2001-01-01
2001,4.5,37.5,1,26.71,2001-01-01
2001,4.5,38.125,1,23.09,2001-01-01
2001,4.5,38.75,1,23.36,2001-01-01
2001,4.5,39.375,1,24.99,2001-01-01
2001,4.5,40.0,1,23.89,2001-01-01
2001,4.5,40.625,1,24.96,2001-01-01
2001,4.5,41.25,1,24.98,2001-01-01
2001,4.5,41.875,1,28.09,2001-01-01
2001,4.5,42.5,1,28.19,2001-01-01
2001,5.0,33.125,1,29.55,2001-01-01
2001,5.0,33.75,1,29.09,2001-01-01
2001,5.0,34.375,1,29.45,2001-01-01
2001,5.0,35.0,1,29.2,2001-01-01
2001,5.0,35.625,1,28.87,2001-01-01
2001,5.0,36.25,1,28.5,2001-01-01
2001,5.0,36.875,1,27.83,2001-01-01
2001,5.0,37.5,1,25.27,2001-01-01
2001,5.0,38.125,1,22.48,2001-01-01
2001,5.0,38.75,1,23.73,2001-01-01
2001,5.0,39.375,1,24.86,2001-01-01
2001,5.0,40.0,1,23.75,2001-01-01
2001,5.0,40.625,1,23.92,2001-01-01
2001,5.0,41.25,1,25.75,2001-01-01
2001,5.0,41.875,1,27.83,2001-01-01
2001,5.0,42.5,1,27.39,2001-01-01
2001,5.5,33.125,1,30.01,2001-01-01
2001,5.5,33.75,1,30.07,2001-01-01
2001,5.5,34.375,1,29.63,2001-01-01
2001,5.5,35.0,1,27.17,2001-01-01
2001,5.5,35.625,1,28.97,2001-01-01
2001,5.5,36.25,1,27.92,2001-01-01
2001,5.5,36.875,1,26.88,2001-01-01
2001,5.5,37.5,1,23.35,2001-01-01
2001,5.5,38.125,1,21.27,2001-01-01
2001,5.5,38.75,1,22.47,2001-01-01
2001,5.5,39.375,1,22.67,2001-01-01
2001,5.5,40.0,1,22.73,2001-01-01
2001,5.5,40.625,1,24.32,2001-01-01
2001,5.5,41.25,1,26.56,2001-01-01
2001,5.5,41.875,1,27.18,2001-01-01
2001,5.5,42.5,1,25.96,2001-01-01
2001,6.0,33.125,1,30.11,2001-01-01
2001,6.0,33.75,1,30.16,2001-01-01
2001,6.0,34.375,1,28.71,2001-01-01
2001,6.0,35.0,1,25.65,2001-01-01
2001,6.0,35.625,1,25.23,2001-01-01
2001,6.0,36.25,1,26.58,2001-01-01
2001,6.0,36.875,1,22.77,2001-01-01
2001,6.0,37.5,1,22.25,2001-01-01
2001,6.0,38.125,1,20.35,2001-01-01
2001,6.0,38.75,1,17.68,2001-01-01
2001,6.0,39.375,1,21.18,2001-01-01
2001,6.0,40.0,1,23.82,2001-01-01
2001,6.0,40.625,1,24.6,2001-01-01
2001,6.0,41.25,1,25.66,2001-01-01
2001,6.0,41.875,1,25.43,2001-01-01
2001,6.0,42.5,1,25.58,2001-01-01
2001,6.5,33.125,1,30.05,2001-01-01
2001,6.5,33.75,1,30.1,2001-01-01
2001,6.5,34.375,1,29.34,2001-01-01
2001,6.5,35.0,1,28.13,2001-01-01
2001,6.5,35.625,1,22.82,2001-01-01
2001,6.5,36.25,1,25.39,2001-01-01
2001,6.5,36.875,1,22.58,2001-01-01
2001,6.5,37.5,1,22.21,2001-01-01
