Year,Crop,Yield,NDVI,SolarRadiation,Temperature,Precipitation
2014,"Mangoes, guavas and mangosteens",6022.1,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,"Mangoes, guavas and mangosteens",6722.6,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,"Mangoes, guavas and mangosteens",5684.9,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,"Mangoes, guavas and mangosteens",6062.9,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,"Mangoes, guavas and mangosteens",6154.4,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,"Mangoes, guavas and mangosteens",5821.7,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,"Mangoes, guavas and mangosteens",4841.2,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,"Mangoes, guavas and mangosteens",5638.8,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,"Mangoes, guavas and mangosteens",5611.2,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,"Mangoes, guavas and mangosteens",4534.2,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,Oranges,6351.9,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,Oranges,5516.2,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,Oranges,5102.0,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,Oranges,4979.1,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,Oranges,5608.5,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,Oranges,18314.7,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,Oranges,17827.4,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,Oranges,12601.4,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,Oranges,12025.0,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,Oranges,12626.9,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,Oranges,13620.0,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,Oranges,13504.4,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,Oranges,11919.3,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,Oranges,10225.9,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
2014,Oranges,9526.5,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,Oranges,8792.8,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,Oranges,7884.0,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,Oranges,8247.6,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,Oranges,7615.6,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,Oranges,8202.9,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,Oranges,7857.4,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,Oranges,6519.6,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,Oranges,5637.4,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,Oranges,4712.8,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,"Other vegetables, fresh n.e.c.",2727.3,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,"Other vegetables, fresh n.e.c.",2731.1,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,"Other vegetables, fresh n.e.c.",2734.5,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,"Other vegetables, fresh n.e.c.",2738.9,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,"Other vegetables, fresh n.e.c.",2741.9,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,"Other vegetables, fresh n.e.c.",2750.0,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,"Other vegetables, fresh n.e.c.",2750.0,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,"Other vegetables, fresh n.e.c.",2760.7,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,"Other vegetables, fresh n.e.c.",2756.6,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,"Other vegetables, fresh n.e.c.",2756.3,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,"Other vegetables, fresh n.e.c.",2755.7,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,"Other vegetables, fresh n.e.c.",2757.1,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,"Other vegetables, fresh n.e.c.",2758.5,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,"Other vegetables, fresh n.e.c.",2759.9,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
2014,"Other vegetables, fresh n.e.c.",2761.3,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,"Other vegetables, fresh n.e.c.",2762.8,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,"Other vegetables, fresh n.e.c.",2762.7,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,"Other vegetables, fresh n.e.c.",2762.9,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,"Other vegetables, fresh n.e.c.",2764.3,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,"Other vegetables, fresh n.e.c.",2765.8,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,"Other vegetables, fresh n.e.c.",2766.8,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,"Other vegetables, fresh n.e.c.",2764.3,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,"Other vegetables, fresh n.e.c.",2765.0,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,"Other vegetables, fresh n.e.c.",2765.6,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,"Peas, dry",737.5,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,"Peas, dry",678.4,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,"Peas, dry",979.6,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,"Peas, dry",744.7,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,"Peas, dry",836.1,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,"Peas, dry",778.5,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,"Peas, dry",817.0,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,"Peas, dry",1040.0,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,"Peas, dry",1087.1,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,"Peas, dry",970.7,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,"Peas, dry",1236.7,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,"Peas, dry",1185.4,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,"Peas, dry",1240.9,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,"Peas, dry",1317.7,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
